Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Armenia
Global Rank"
2018,"2,934,152",0.13 %,"3,702","-4,998",34.3,1.64,103,63.7 %,"1,867,160",0.04 %,"7,632,819,325",139
2017,"2,930,450",0.19 %,"5,634","-4,998",34.3,1.64,103,63.8 %,"1,869,644",0.04 %,"7,550,262,101",138
2016,"2,924,816",0.27 %,"7,866","-4,998",34.3,1.64,103,64.0 %,"1,871,933",0.04 %,"7,466,964,280",139
2015,"2,916,950",0.27 %,"7,928","-6,107",33.9,1.65,102,64.2 %,"1,873,591",0.04 %,"7,383,008,820",140
2010,"2,877,311",-0.71 %,"-20,790","-36,672",32.9,1.72,101,65.5 %,"1,884,192",0.04 %,"6,958,169,159",139
2005,"2,981,259",-0.58 %,"-17,666","-32,104",31.8,1.65,105,64.9 %,"1,935,079",0.05 %,"6,542,159,383",137
2000,"3,069,588",-0.94 %,"-29,551","-44,775",30.6,1.75,108,64.8 %,"1,989,199",0.05 %,"6,145,006,989",134
1995,"3,217,342",-1.88 %,"-64,165","-99,258",29.4,2.38,113,66.2 %,"2,129,141",0.06 %,"5,751,474,416",128
1990,"3,538,165",1.18 %,"40,446","-13,506",27.2,2.6,124,67.5 %,"2,389,860",0.07 %,"5,330,943,460",122
1985,"3,335,935",1.48 %,"47,237","-10,246",25.3,2.5,117,67.2 %,"2,240,220",0.07 %,"4,873,781,796",120
1980,"3,099,751",1.82 %,"53,399","3,443",23.5,2.6,109,66.0 %,"2,045,091",0.07 %,"4,458,411,534",121
1975,"2,832,757",2.33 %,"61,538","17,281",21.8,3.04,99,63.5 %,"1,797,435",0.07 %,"4,079,087,198",118
1970,"2,525,065",2.69 %,"62,750","20,680",20.3,3.45,89,59.7 %,"1,507,630",0.07 %,"3,700,577,650",119
1965,"2,211,316",3.36 %,"67,439","9,973",22.7,4.49,78,55.5 %,"1,226,264",0.07 %,"3,339,592,688",121
1960,"1,874,120",3.69 %,"62,123","11,986",22.4,4.9,66,51.1 %,"957,511",0.06 %,"3,033,212,527",121
1955,"1,563,505",2.93 %,"41,999","9,973",22.7,4.49,55,46.0 %,"718,455",0.06 %,"2,772,242,535",121
