Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Iraq
Global Rank"
2018,"39,339,753",2.78 %,"1,065,135","7,834",19.5,4.49,91,66.9 %,"27,042,424",0.52 %,"7,632,819,325",36
2017,"38,274,618",2.88 %,"1,072,046","7,834",19.5,4.49,88,68.7 %,"26,306,153",0.51 %,"7,550,262,101",36
2016,"37,202,572",3.01 %,"1,086,923","7,834",19.5,4.49,86,68.7 %,"25,576,081",0.50 %,"7,466,964,280",37
2015,"36,115,649",3.26 %,"1,070,590","92,733",19.4,4.55,83,68.8 %,"24,847,389",0.49 %,"7,383,008,820",37
2010,"30,762,701",2.64 %,"750,855","-91,466",18.9,4.55,71,69.5 %,"21,374,433",0.44 %,"6,958,169,159",39
2005,"27,008,426",2.76 %,"688,603","-53,264",18.7,4.66,62,69.7 %,"18,825,977",0.41 %,"6,542,159,383",40
2000,"23,565,413",3.12 %,"671,405","-3,572",18.2,5.19,54,69.2 %,"16,302,927",0.38 %,"6,145,006,989",43
1995,"20,208,387",2.96 %,"547,876","-30,805",17.5,5.65,47,69.3 %,"14,005,725",0.35 %,"5,751,474,416",47
1990,"17,469,005",2.32 %,"378,522","-126,037",16.8,6.09,40,69.9 %,"12,210,719",0.33 %,"5,330,943,460",46
1985,"15,576,395",2.67 %,"384,608","-39,988",16.7,6.35,36,68.8 %,"10,711,365",0.32 %,"4,873,781,796",49
1980,"13,653,356",3.16 %,"393,753","-9,558",16.6,6.8,31,65.5 %,"8,945,866",0.31 %,"4,458,411,534",50
1975,"11,684,589",3.33 %,"353,321","-1,717",17,7.15,27,61.4 %,"7,171,849",0.29 %,"4,079,087,198",51
1970,"9,917,983",3.44 %,"308,438","-1,375",17.5,7.4,23,56.2 %,"5,569,368",0.27 %,"3,700,577,650",52
1965,"8,375,793",2.82 %,"217,206",-110,20.3,7.3,19,50.7 %,"4,242,439",0.25 %,"3,339,592,688",64
1960,"7,289,761",2.31 %,"157,421",-220,19.6,6.2,17,42.9 %,"3,127,213",0.24 %,"3,033,212,527",62
1955,"6,502,657",2.60 %,"156,693",-110,20.3,7.3,15,37.6 %,"2,447,030",0.23 %,"2,772,242,535",64
