Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Saudi Arabia
Global Rank"
2018,"33,554,343",1.87 %,"616,130","118,000",30.2,2.67,16,77.0 %,"26,304,988",0.44 %,"7,632,819,325",41
2017,"32,938,213",2.05 %,"662,526","118,000",30.2,2.67,15,78.4 %,"25,829,952",0.44 %,"7,550,262,101",41
2016,"32,275,687",2.28 %,"718,543","118,000",30.2,2.67,15,78.5 %,"25,344,685",0.43 %,"7,466,964,280",41
2015,"31,557,144",2.85 %,"826,294","318,000",29.8,2.73,15,78.8 %,"24,853,959",0.43 %,"7,383,008,820",41
2010,"27,425,676",2.79 %,"704,004","199,000",25.9,3.23,13,81.6 %,"22,374,784",0.39 %,"6,958,169,159",45
2005,"23,905,654",2.86 %,"628,268","146,000",23.7,3.65,11,83.6 %,"19,993,877",0.37 %,"6,542,159,383",46
2000,"20,764,312",2.08 %,"405,694","-70,000",21.3,4.4,10,77.5 %,"16,084,987",0.34 %,"6,145,006,989",48
1995,"18,735,841",2.79 %,"481,805","-22,000",19.4,5.55,9,78.0 %,"14,607,001",0.33 %,"5,751,474,416",48
1990,"16,326,815",4.36 %,"627,540","146,000",19.5,6.22,8,76.0 %,"12,411,049",0.31 %,"5,330,943,460",51
1985,"13,189,115",6.25 %,"689,703","278,325",19.3,7.02,6,73.1 %,"9,643,065",0.27 %,"4,873,781,796",52
1980,"9,740,599",5.57 %,"462,379","164,267",18.4,7.28,5,66.6 %,"6,482,740",0.22 %,"4,458,411,534",61
1975,"7,428,703",4.94 %,"318,463","98,375",18,7.3,3,57.9 %,"4,304,904",0.18 %,"4,079,087,198",72
1970,"5,836,389",3.80 %,"198,551","37,401",18,7.26,3,48.4 %,"2,824,240",0.16 %,"3,700,577,650",76
1965,"4,843,635",3.46 %,"151,419","5,258",18.8,7.18,2,38.6 %,"1,869,612",0.15 %,"3,339,592,688",84
1960,"4,086,539",2.81 %,"105,677","5,194",18.5,7.18,2,31.1 %,"1,272,545",0.13 %,"3,033,212,527",83
1955,"3,558,155",2.65 %,"87,364","5,258",18.8,7.18,2,25.9 %,"922,664",0.13 %,"2,772,242,535",84
