Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Tanzania
Global Rank"
2018,"59,091,392",3.11 %,"1,781,373","-40,000",17.4,5.17,67,31.0 %,"19,244,709",0.77 %,"7,632,819,325",24
2017,"57,310,019",3.13 %,"1,737,818","-40,000",17.4,5.17,65,31.9 %,"18,307,606",0.76 %,"7,550,262,101",24
2016,"55,572,201",3.14 %,"1,692,244","-40,000",17.4,5.17,63,31.3 %,"17,402,287",0.74 %,"7,466,964,280",25
2015,"53,879,957",3.17 %,"1,556,273","-40,000",17.3,5.24,61,30.7 %,"16,528,155",0.73 %,"7,383,008,820",25
2010,"46,098,591",3.18 %,"1,337,609","-53,063",17.2,5.58,52,27.4 %,"12,643,617",0.66 %,"6,958,169,159",28
2005,"39,410,545",2.89 %,"1,046,501","-59,190",17.2,5.66,44,24.5 %,"9,645,896",0.60 %,"6,542,159,383",30
2000,"34,178,042",2.67 %,"843,453","-41,175",17.2,5.75,39,22.2 %,"7,589,582",0.56 %,"6,145,006,989",32
1995,"29,960,776",3.31 %,"900,234","118,257",17,6.05,34,20.5 %,"6,151,584",0.52 %,"5,751,474,416",32
1990,"25,459,604",3.12 %,"724,521","13,642",16.8,6.36,29,18.9 %,"4,812,601",0.48 %,"5,330,943,460",34
1985,"21,836,999",3.17 %,"630,768","7,436",16.7,6.55,25,16.8 %,"3,663,636",0.45 %,"4,873,781,796",36
1980,"18,683,157",3.17 %,"540,571","-4,450",16.6,6.73,21,14.6 %,"2,719,772",0.42 %,"4,458,411,534",36
1975,"15,980,301",3.27 %,"474,954","23,798",16.7,6.75,18,11.1 %,"1,780,977",0.39 %,"4,079,087,198",38
1970,"13,605,529",3.09 %,"384,400","7,205",16.8,6.79,15,7.9 %,"1,068,282",0.37 %,"3,700,577,650",38
1965,"11,683,528",3.01 %,"321,804",0,17,6.74,13,6.0 %,"704,433",0.35 %,"3,339,592,688",46
1960,"10,074,507",2.88 %,"266,704",0,17,6.8,11,5.2 %,"528,497",0.33 %,"3,033,212,527",40
1955,"8,740,986",2.70 %,"218,245",0,17,6.74,10,4.4 %,"385,389",0.32 %,"2,772,242,535",46
