Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Georgia
Global Rank"
2018,"3,907,131",-0.13 %,"-4,930","-10,000",38.1,1.99,56,59.0 %,"2,302,656",0.05 %,"7,632,819,325",133
2017,"3,912,061",-0.34 %,"-13,344","-10,000",38.1,1.99,56,58.9 %,"2,304,786",0.05 %,"7,550,262,101",133
2016,"3,925,405",-0.66 %,"-26,119","-10,000",38.1,1.99,56,58.8 %,"2,306,889",0.05 %,"7,466,964,280",133
2015,"3,951,524",-1.36 %,"-56,027","-61,054",38,2,57,58.4 %,"2,308,992",0.05 %,"7,383,008,820",132
2010,"4,231,661",-1.16 %,"-50,977","-59,896",36.6,1.8,61,54.8 %,"2,320,260",0.06 %,"6,958,169,159",126
2005,"4,486,547",-1.02 %,"-47,102","-55,504",35,1.58,65,52.3 %,"2,348,200",0.07 %,"6,542,159,383",118
2000,"4,722,059",-1.22 %,"-59,600","-73,207",33.8,1.72,68,52.9 %,"2,496,944",0.08 %,"6,145,006,989",113
1995,"5,020,061",-1.49 %,"-78,062","-108,814",32.3,2.05,72,54.3 %,"2,728,179",0.09 %,"5,751,474,416",105
1990,"5,410,372",0.75 %,"39,786","-8,732",31,2.26,78,55.5 %,"3,005,250",0.10 %,"5,330,943,460",97
1985,"5,211,441",0.76 %,"38,725","-9,565",29.8,2.27,75,55.0 %,"2,865,401",0.11 %,"4,873,781,796",94
1980,"5,017,818",0.58 %,"28,840","-19,089",29.1,2.39,72,53.1 %,"2,663,279",0.11 %,"4,458,411,534",93
1975,"4,873,619",0.67 %,"32,059","-14,685",28.5,2.6,70,50.7 %,"2,471,020",0.12 %,"4,079,087,198",91
1970,"4,713,322",1.52 %,"68,360","17,039",28.2,2.8,68,47.9 %,"2,259,815",0.13 %,"3,700,577,650",84
1965,"4,371,521",1.75 %,"72,762","8,976",27.4,2.75,63,46.6 %,"2,038,696",0.13 %,"3,339,592,688",82
1960,"4,007,713",1.54 %,"58,918","13,637",27.8,2.91,58,44.7 %,"1,791,587",0.13 %,"3,033,212,527",84
1955,"3,713,121",1.03 %,"37,223","8,976",27.4,2.75,53,41.4 %,"1,538,345",0.13 %,"2,772,242,535",82
