Year,Population,"Yearly % 
Change","Yearly
Change",Migrants (net),Median Age,Fertility Rate,Density (P/Km²),"Urban
Pop %",Urban Population,"Country's Share of
World Pop",World Population,"Israel
Global Rank"
2018,"8,452,841",1.58 %,"131,271","10,000",30.3,3.02,391,88.9 %,"7,632,530",0.11 %,"7,632,819,325",100
2017,"8,321,570",1.58 %,"129,742","10,000",30.3,3.02,385,90.3 %,"7,514,792",0.11 %,"7,550,262,101",100
2016,"8,191,828",1.58 %,"127,281","10,000",30.3,3.02,379,90.4 %,"7,402,083",0.11 %,"7,466,964,280",100
2015,"8,064,547",1.66 %,"127,718","3,899",30.2,3.04,373,90.5 %,"7,297,043",0.11 %,"7,383,008,820",100
2010,"7,425,959",2.38 %,"164,598","54,727",30.1,2.93,343,91.8 %,"6,813,683",0.11 %,"6,958,169,159",99
2005,"6,602,970",1.89 %,"117,846","20,587",28.7,2.91,305,91.5 %,"6,043,558",0.10 %,"6,542,159,383",100
2000,"6,013,741",2.43 %,"136,004","49,067",28,2.93,278,91.2 %,"5,484,684",0.10 %,"6,145,006,989",100
1995,"5,333,719",3.46 %,"166,649","91,385",27.3,2.93,246,90.8 %,"4,844,628",0.09 %,"5,751,474,416",102
1990,"4,500,475",1.97 %,"83,538","13,084",25.9,3.07,208,90.3 %,"4,065,416",0.08 %,"5,330,943,460",106
1985,"4,082,787",1.74 %,"67,624",521,25.4,3.13,189,89.8 %,"3,667,479",0.08 %,"4,873,781,796",109
1980,"3,744,667",2.33 %,"81,581","12,509",25,3.47,173,88.6 %,"3,317,141",0.08 %,"4,458,411,534",107
1975,"3,336,760",3.21 %,"97,428","33,176",24.1,3.81,154,86.6 %,"2,891,082",0.08 %,"4,079,087,198",107
1970,"2,849,622",2.47 %,"65,418","14,488",23.5,3.78,132,84.2 %,"2,399,238",0.08 %,"3,700,577,650",111
1965,"2,522,530",3.83 %,"86,528","52,433",24.6,4.28,117,80.9 %,"2,041,746",0.08 %,"3,339,592,688",119
1960,"2,089,889",3.99 %,"74,186","33,513",24.1,3.89,97,76.8 %,"1,606,030",0.07 %,"3,033,212,527",116
1955,"1,718,958",6.44 %,"92,197","52,433",24.6,4.28,79,71.0 %,"1,220,458",0.06 %,"2,772,242,535",119
